source,title,price,location,size,listing_type,link
OpenSooq,Residential Land for Sale in Dhofar Shalim and The Hallaniyat Island,"7,800 OMR",", Shalim and The Hallaniyat Island, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266776143
OpenSooq,Mixed Use Land for Sale in Al Batinah Saham,"15,800 OMR",", Saham, 953100XX",,Property for Sale,https://om.opensooq.com/en/search/266776111
OpenSooq,Mixed Use Land for Sale in Al Dhahirah Ibri,"13,700 OMR",", Ibri, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266776091
OpenSooq,Commercial Land for Sale in Al Wustaa Haima,"11,500 OMR",", Haima, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266776061
OpenSooq,Mixed Use Land for Sale in Muscat Amerat,"38,500 OMR",", Amerat, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266776023
OpenSooq,Residential Land for Sale in Al Batinah Rustaq,"7,000 OMR",", Rustaq, 771259XX",,Property for Sale,https://om.opensooq.com/en/search/266776033
OpenSooq,Residential Land for Sale in Al Batinah Saham,"5,950 OMR",", Saham, 953100XX",,Property for Sale,https://om.opensooq.com/en/search/266775987
OpenSooq,Residential Land for Sale in Al Sharqiya Al Mudaibi,"3,300 OMR",", Al Mudaibi, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775945
OpenSooq,Commercial Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"20,000 OMR",", Ja'alan Bani Bu Ali, 921606XX",,Property for Sale,https://om.opensooq.com/en/search/266775899
OpenSooq,Residential Land for Sale in Al Batinah Sohar,"15,900 OMR",", Sohar, 953100XX",,Property for Sale,https://om.opensooq.com/en/search/266775815
OpenSooq,Residential Land for Sale in Al Wustaa Al Duqum,"20,000 OMR",", Al Duqum, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775757
OpenSooq,Residential Land for Sale in Al Dhahirah Ibri,"12,000 OMR",", Ibri, 922292XX",,Property for Sale,https://om.opensooq.com/en/search/261558669
OpenSooq,Residential Land for Sale in Al Batinah Barka,"16,900 OMR",", Barka, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775689
OpenSooq,Mixed Use Land for Sale in Al Dhahirah Ibri,"17,000 OMR",", Ibri, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775649
OpenSooq,Commercial Land for Sale in Al Dhahirah Ibri,"17,000 OMR",", Ibri, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775601
OpenSooq,150 m2 3 Bedrooms Townhouse for Sale in Buraimi Other,"25,000 OMR",", Other, 722552XX",150 m²,Property for Sale,https://om.opensooq.com/en/search/266721197
OpenSooq,Residential Land for Sale in Al Sharqiya Al Mudaibi,"5,800 OMR",", Al Mudaibi, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775571
OpenSooq,Residential Land for Sale in Muscat Seeb,"23,500 OMR",", Seeb, 953065XX",,Property for Sale,https://om.opensooq.com/en/search/266775533
OpenSooq,Commercial Land for Sale in Dhofar Thumrait,"10,500 OMR",", Thumrait, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775493
OpenSooq,Commercial Land for Sale in Dhofar Thumrait,"9,500 OMR",", Thumrait, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775461
OpenSooq,Industrial Land for Sale in Muscat Seeb,"71,000 OMR",", Seeb, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775383
OpenSooq,Residential Land for Sale in Al Sharqiya Al Kamil and Al Waafi,"2,300 OMR",", Al Kamil and Al Waafi, 926568XX",,Property for Sale,https://om.opensooq.com/en/search/266775323
OpenSooq,Farm Land for Sale in Al Batinah Barka,"16,000 OMR",", Barka, 972690XX",,Property for Sale,https://om.opensooq.com/en/search/265730683
OpenSooq,Building for Sale in Buraimi Other,"45,000 OMR",", Other, 799792XX",120 m²,Property for Sale,https://om.opensooq.com/en/search/266774355
OpenSooq,Residential Land for Sale in Al Dhahirah Ibri,"9,000 OMR",", Ibri, 952433XX",,Property for Sale,https://om.opensooq.com/en/search/266774511
OpenSooq,Residential Land for Sale in Al Batinah Suwaiq,"4,000 OMR",", Suwaiq, 923997XX",,Property for Sale,https://om.opensooq.com/en/search/265711073
OpenSooq,Residential Land for Sale in Al Batinah Liwa,"11,500 OMR",", Liwa, 990505XX",,Property for Sale,https://om.opensooq.com/en/search/264477547
OpenSooq,house for sale فلة - بيت عربي للبيع فقط العامرات 6 البريد قريب المحكمة و سوق العامرات السعر 44 الف,"42,000 OMR",", Amerat, 771891XX",110 m²,Property for Sale,https://om.opensooq.com/en/search/266579751
OpenSooq,خذ مكتبك الآن في مجمع أعمال حيوي وسط العاصمة,"39,250 OMR",", Bosher, 913109XX",65 m²,Property for Sale,https://om.opensooq.com/en/search/263360297
OpenSooq,93 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"43,000 OMR",", Azaiba, 913109XX",93 m²,Property for Sale,https://om.opensooq.com/en/search/264244443
OpenSooq,62 m2 1 Bedroom Apartments for Sale in Muscat Ghala,"23,000 OMR",", Ghala, 913109XX",62 m²,Property for Sale,https://om.opensooq.com/en/search/264386837
OpenSooq,شقة للاستثمار في منطقة حيوية بالعاصمة,"24,400 OMR",", Al Khoud, 913109XX",58 m²,Property for Sale,https://om.opensooq.com/en/search/265373161
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"73,000 OMR",", Al Maabilah, 989889XX",,Property for Sale,https://om.opensooq.com/en/search/266773387
OpenSooq,Residential Land for Sale in Dhofar Salala,"8,500 OMR",", Salala, 788853XX",,Property for Sale,https://om.opensooq.com/en/search/264690005
OpenSooq,Residential Land for Sale in Al Batinah Barka,"14,000 OMR",", Barka, 925292XX",,Property for Sale,https://om.opensooq.com/en/search/265710105
OpenSooq,Residential Land for Sale in Muscat Al Mawaleh,"12,000 OMR",", Al Mawaleh, 965413XX",,Property for Sale,https://om.opensooq.com/en/search/266773293
OpenSooq,320 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"72,000 OMR",", Al Maabilah, 960338XX",320 m²,Property for Sale,https://om.opensooq.com/en/search/266772939
OpenSooq,Residential Land for Sale in Muscat Amerat,"15,000 OMR",", Amerat, 957451XX",,Property for Sale,https://om.opensooq.com/en/search/265708771
OpenSooq,Residential Land for Sale in Al Batinah Saham,"9,900 OMR",", Saham, 961666XX",,Property for Sale,https://om.opensooq.com/en/search/263756895
OpenSooq,Building for Sale in Muscat Ruwi,"900,000 OMR",", Ruwi, 988969XX",4000 m²,Property for Sale,https://om.opensooq.com/en/search/266772349
OpenSooq,ٍللاخلاء مكتب جاهز 130م – موقع ممتاز وتأثيث راق,"14,000 OMR",", Al-Hail, 917865XX",130 m²,Property for Sale,https://om.opensooq.com/en/search/265708795
OpenSooq,325 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,"58,000 OMR",", Barka, 952798XX",325 m²,Property for Sale,https://om.opensooq.com/en/search/266771285
OpenSooq,118 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,"22,000 OMR",", Salala, 994258XX",118 m²,Property for Sale,https://om.opensooq.com/en/search/266771187
OpenSooq,Residential Land for Sale in Al Batinah Barka,"6,500 OMR",", Barka, 993603XX",,Property for Sale,https://om.opensooq.com/en/search/266771297
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"8,000 OMR",", Al Maabilah, 996746XX",,Property for Sale,https://om.opensooq.com/en/search/266771157
OpenSooq,Residential Land for Sale in Muscat Ansab,"44,500 OMR",", Ansab, 799998XX",,Property for Sale,https://om.opensooq.com/en/search/266771043
OpenSooq,Commercial Land for Sale in Muscat Al Maabilah,"3,500,000 OMR",", Al Maabilah, 959605XX",,Property for Sale,https://om.opensooq.com/en/search/263005625
OpenSooq,Residential Land for Sale in Muscat Bosher,"1,100,000 OMR",", Bosher, 959605XX",,Property for Sale,https://om.opensooq.com/en/search/264119543
OpenSooq,406 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"118,000 OMR",", Al Khoud, 991582XX",406 m²,Property for Sale,https://om.opensooq.com/en/search/266445125
OpenSooq,Mixed Use Land for Sale in Dhofar Salala,"25,000 OMR",", Salala, 988221XX",,Property for Sale,https://om.opensooq.com/en/search/266770759
OpenSooq,210 m2 3 Bedrooms Villa for Sale in Al Batinah Al Masnaah,"38,000 OMR",", Al Masnaah, 972927XX",210 m²,Property for Sale,https://om.opensooq.com/en/search/262723431
OpenSooq,Commercial Land for Sale in Muscat Al Mawaleh,"370,000 OMR",", Al Mawaleh, 959988XX",,Property for Sale,https://om.opensooq.com/en/search/265707207
OpenSooq,136 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"110,000 OMR",", Al Maabilah, 796471XX",136 m²,Property for Sale,https://om.opensooq.com/en/search/266770491
OpenSooq,Residential Land for Sale in Al Batinah Barka,"16,000 OMR",", Barka, 950302XX",,Property for Sale,https://om.opensooq.com/en/search/266770449
OpenSooq,Residential Land for Sale in Dhofar Taqah,"9,000 OMR",", Taqah, 929177XX",,Property for Sale,https://om.opensooq.com/en/search/258110705
OpenSooq,Residential Land for Sale in Muscat Amerat,"15,000 OMR",", Amerat, 995967XX",,Property for Sale,https://om.opensooq.com/en/search/266769997
OpenSooq,Residential Land for Sale in Al Batinah Al Rumais,"20,500 OMR",", Al Rumais, 799998XX",,Property for Sale,https://om.opensooq.com/en/search/266769937
OpenSooq,Boutique accessories for sale,"3,000 OMR",", Muttrah, 793547XX",40 m²,Property for Sale,https://om.opensooq.com/en/search/266769965
OpenSooq,Residential Land for Sale in Al Dakhiliya Izki,"5,000 OMR",", Izki, 993833XX",,Property for Sale,https://om.opensooq.com/en/search/266769887
OpenSooq,Commercial Land for Sale in Al Batinah Shinas,"30,000 OMR",", Shinas, 926260XX",,Property for Sale,https://om.opensooq.com/en/search/265706173
OpenSooq,172 m2 3 Bedrooms Townhouse for Sale in Al Sharqiya Al Mudaibi,"55,000 OMR",", Al Mudaibi, 994678XX",172 m²,Property for Sale,https://om.opensooq.com/en/search/266769753
OpenSooq,Farm Land for Sale in Al Batinah Saham,"69,000 OMR",", Saham, 937313XX",,Property for Sale,https://om.opensooq.com/en/search/266769711
OpenSooq,185 m2 3 Bedrooms Townhouse for Sale in Al Dhahirah Ibri,"34,000 OMR",", Ibri, 957315XX",185 m²,Property for Sale,https://om.opensooq.com/en/search/265706171
OpenSooq,185 m2 3 Bedrooms Townhouse for Sale in Al Dhahirah Ibri,"34,000 OMR",", Ibri, 957315XX",185 m²,Property for Sale,https://om.opensooq.com/en/search/265706079
OpenSooq,Residential Land for Sale in Muscat Amerat,"10,300 OMR",", Amerat, 948889XX",,Property for Sale,https://om.opensooq.com/en/search/266769515
OpenSooq,140 m2 3 Bedrooms Townhouse for Sale in Al Dhahirah Ibri,"26,000 OMR",", Ibri, 957315XX",140 m²,Property for Sale,https://om.opensooq.com/en/search/265499225
OpenSooq,265 m2 More than 6 bedrooms Villa for Sale in Al Batinah Barka,"55,000 OMR",", Barka, 770887XX",265 m²,Property for Sale,https://om.opensooq.com/en/search/265631951
OpenSooq,Residential Land for Sale in Al Batinah Barka,"12,900 OMR",", Barka, 964041XX",,Property for Sale,https://om.opensooq.com/en/search/266769081
OpenSooq,226 m2 5 Bedrooms Townhouse for Sale in Al Batinah Rustaq,"58,000 OMR",", Rustaq, 992416XX",226 m²,Property for Sale,https://om.opensooq.com/en/search/266768919
OpenSooq,A high-end ladies beauty salon is for sale in Qurm- alsarooj  iصالون نسائي راقٍ للبيع في القرم,"45,000 OMR",", Qurm, 932333XX",500 m²,Property for Sale,https://om.opensooq.com/en/search/266769015
OpenSooq,268 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,"54,000 OMR",", Barka, 924555XX",268 m²,Property for Sale,https://om.opensooq.com/en/search/265704329
OpenSooq,285 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"57,000 OMR",", Amerat, 979989XX",285 m²,Property for Sale,https://om.opensooq.com/en/search/265704407
OpenSooq,318 m2 4 Bedrooms Villa for Sale in Muscat Amerat,"69,000 OMR",", Amerat, 924555XX",318 m²,Property for Sale,https://om.opensooq.com/en/search/265704491
OpenSooq,104 m2 3 Bedrooms Villa for Sale in Muscat Amerat,"38,000 OMR",", Amerat, 979989XX",104 m²,Property for Sale,https://om.opensooq.com/en/search/265704621
OpenSooq,352 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"77,500 OMR",", Amerat, 924555XX",352 m²,Property for Sale,https://om.opensooq.com/en/search/265704813
OpenSooq,242 m2 4 Bedrooms Villa for Sale in Muscat Amerat,"53,000 OMR",", Amerat, 924555XX",242 m²,Property for Sale,https://om.opensooq.com/en/search/265704897
OpenSooq,Residential Land for Sale in Al Batinah Barka,"16,000 OMR",", Barka, 995466XX",,Property for Sale,https://om.opensooq.com/en/search/265704835
OpenSooq,Residential Land for Sale in Muscat Al-Hail,"24,500 OMR",", Al-Hail, 799998XX",,Property for Sale,https://om.opensooq.com/en/search/266768487
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"95,000 OMR",", Al Maabilah, 922949XX",,Property for Sale,https://om.opensooq.com/en/search/265704603
OpenSooq,Residential Land for Sale in Al Batinah Al Rumais,"22,000 OMR",", Al Rumais, 799998XX",,Property for Sale,https://om.opensooq.com/en/search/266768313
OpenSooq,Residential Land for Sale in Al Sharqiya Sur,"9,600 OMR",", Sur, 948357XX",,Property for Sale,https://om.opensooq.com/en/search/266768207
OpenSooq,505 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,"295,000 OMR",", Bosher, 924555XX",505 m²,Property for Sale,https://om.opensooq.com/en/search/265704121
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"14,900 OMR",", Al Maabilah, 799998XX",,Property for Sale,https://om.opensooq.com/en/search/266768085
OpenSooq,Residential Land for Sale in Al Batinah Al Rumais,"30,500 OMR",", Al Rumais, 944111XX",,Property for Sale,https://om.opensooq.com/en/search/266768045
OpenSooq,284 m2 4 Bedrooms Villa for Sale in Muscat Azaiba,"140,000 OMR",", Azaiba, 710933XX",284 m²,Property for Sale,https://om.opensooq.com/en/search/266768051
OpenSooq,218 m2 3 Bedrooms Villa for Sale in Muscat Al Maabilah,"78,000 OMR",", Al Maabilah, 710933XX",218 m²,Property for Sale,https://om.opensooq.com/en/search/266768031
OpenSooq,420 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"110,000 OMR",", Amerat, 924555XX",420 m²,Property for Sale,https://om.opensooq.com/en/search/265704041
OpenSooq,177 m2 3 Bedrooms Villa for Sale in Muscat Al-Sifah,"245,000 OMR",", Al-Sifah, 710933XX",177 m²,Property for Sale,https://om.opensooq.com/en/search/266768011
OpenSooq,704 m2 More than 6 bedrooms Villa for Sale in Muscat Ansab,"225,000 OMR",", Ansab, 710933XX",704 m²,Property for Sale,https://om.opensooq.com/en/search/266767765
OpenSooq,Residential Land for Sale in Muscat Amerat,"18,500 OMR",", Amerat, 954081XX",,Property for Sale,https://om.opensooq.com/en/search/265703553
OpenSooq,Residential Land for Sale in Muscat Seeb,"32,500 OMR",", Seeb, 799998XX",,Property for Sale,https://om.opensooq.com/en/search/266767661
OpenSooq,Residential Land for Sale in Buraimi Al Buraimi,"9,500 OMR",", Al Buraimi, 958503XX",,Property for Sale,https://om.opensooq.com/en/search/266767663
OpenSooq,262 m2 More than 6 bedrooms Villa for Sale in Al Batinah Saham,"47,000 OMR",", Saham, 929253XX",262 m²,Property for Sale,https://om.opensooq.com/en/search/265703259
OpenSooq,Residential Land for Sale in Muscat Ansab,"170,000 OMR",", Ansab, 972331XX",,Property for Sale,https://om.opensooq.com/en/search/266767579
OpenSooq,مبنى سكني تجاري للبيع العامرات مدينة النهضة مربع 12 موقع استثماري ممتاز,"95,000 OMR",", Amerat, 954081XX",488 m²,Property for Sale,https://om.opensooq.com/en/search/265703383
OpenSooq,250 m2 3 Bedrooms Villa for Sale in Muscat Al Maabilah,"57,000 OMR",", Al Maabilah, 959585XX",250 m²,Property for Sale,https://om.opensooq.com/en/search/266767501
OpenSooq,280 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"68,000 OMR",", Al Maabilah, 920999XX",280 m²,Property for Sale,https://om.opensooq.com/en/search/263891119
OpenSooq,Farm Land for Sale in Al Dakhiliya Adam,"90,000 OMR",", Adam, 943858XX",,Property for Sale,https://om.opensooq.com/en/search/266767287
OpenSooq,Residential Land for Sale in Muscat Amerat,"10,000 OMR",", Amerat, 954081XX",,Property for Sale,https://om.opensooq.com/en/search/265702837
OpenSooq,Farm Land for Sale in Al Sharqiya Al Mudaibi,"5,000 OMR",", Al Mudaibi, 995244XX",,Property for Sale,https://om.opensooq.com/en/search/265702789
OpenSooq,Residential Land for Sale in Muscat Ansab,"115,000 OMR",", Ansab, 921800XX",,Property for Sale,https://om.opensooq.com/en/search/265702577
OpenSooq,Residential Land for Sale in Al Wustaa Mahut,"1,350 OMR",", Mahut, 995244XX",,Property for Sale,https://om.opensooq.com/en/search/261824745
OpenSooq,Residential Land for Sale in Al Dakhiliya Nizwa,"36,000 OMR",", Nizwa, 962502XX",,Property for Sale,https://om.opensooq.com/en/search/261659879
OpenSooq,Residential Land for Sale in Al Batinah Sohar,"26,500 OMR",", Sohar, 990117XX",,Property for Sale,https://om.opensooq.com/en/search/265702165
OpenSooq,Residential Land for Sale in Al Batinah Saham,"8,500 OMR",", Saham, 966557XX",,Property for Sale,https://om.opensooq.com/en/search/266766673
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"16,500 OMR",", Al Maabilah, 944111XX",,Property for Sale,https://om.opensooq.com/en/search/266766599
OpenSooq,Residential Land for Sale in Muscat Amerat,"45,000 OMR",", Amerat, 924555XX",,Property for Sale,https://om.opensooq.com/en/search/265702119
OpenSooq,Residential Land for Sale in Al Dakhiliya Bahla,"17,000 OMR",", Bahla, 972528XX",,Property for Sale,https://om.opensooq.com/en/search/266766549
OpenSooq,Farm Land for Sale in Al Batinah Barka,"165,000 OMR",", Barka, 944111XX",,Property for Sale,https://om.opensooq.com/en/search/266766517
OpenSooq,Residential Land for Sale in Al Dakhiliya Nizwa,"10,300 OMR",", Nizwa, 951380XX",,Property for Sale,https://om.opensooq.com/en/search/265701997
OpenSooq,Residential Land for Sale in Al Batinah Barka,"14,900 OMR",", Barka, 944111XX",,Property for Sale,https://om.opensooq.com/en/search/266766423
OpenSooq,Residential Land for Sale in Al Sharqiya Al Mudaibi,"1,700 OMR",", Al Mudaibi, 995244XX",,Property for Sale,https://om.opensooq.com/en/search/262534911
OpenSooq,Residential Land for Sale in Muscat Seeb,"24,500 OMR",", Seeb, 944111XX",,Property for Sale,https://om.opensooq.com/en/search/266766223
OpenSooq,Residential Land for Sale in Muscat Halban,"57,000 OMR",", Halban, 927299XX",,Property for Sale,https://om.opensooq.com/en/search/266766183
OpenSooq,Residential Land for Sale in Muscat Al Maabilah,"59,000 OMR",", Al Maabilah, 997269XX",,Property for Sale,https://om.opensooq.com/en/search/265701643
OpenSooq,Residential Land for Sale in Al Batinah Barka,"19,000 OMR",", Barka, 944111XX",,Property for Sale,https://om.opensooq.com/en/search/266766143
OpenSooq,60 m2 1 Bedroom Apartments for Sale in Muscat Al-Wuttayah,"27,000 OMR",", Al-Wuttayah, 955999XX",60 m²,Property for Sale,https://om.opensooq.com/en/search/265701443
OpenSooq,Residential Land for Sale in Al Dakhiliya Bidbid,"33,000 OMR",", Bidbid, 993218XX",,Property for Sale,https://om.opensooq.com/en/search/266765907
OpenSooq,Residential Land for Sale in Muscat Amerat,"33,000 OMR",", Amerat, 954081XX",,Property for Sale,https://om.opensooq.com/en/search/265701315
OpenSooq,Commercial Land for Sale in Al Dakhiliya Bahla,"7,500 OMR",", Bahla, 954377XX",,Property for Sale,https://om.opensooq.com/en/search/266439847
OpenSooq,200 m2 3 Bedrooms Villa for Sale in Muscat Al Khoud,"75,000 OMR",", Al Khoud, 991641XX",200 m²,Property for Sale,https://om.opensooq.com/en/search/263749351
OpenSooq,Residential Land for Sale in Muscat Al Khoud,"550,000 OMR",", Al Khoud, 959988XX",,Property for Sale,https://om.opensooq.com/en/search/265700905
OpenSooq,Residential Land for Sale in Al Batinah Al Masnaah,"6,400 OMR",", Al Masnaah, 993407XX",,Property for Sale,https://om.opensooq.com/en/search/265700823
OpenSooq,378 m2 3 Bedrooms Townhouse for Sale in Al Batinah Barka,"72,000 OMR",", Barka, 768899XX",378 m²,Property for Sale,https://om.opensooq.com/en/search/266071573
OpenSooq,250 m2 3 Bedrooms Townhouse for Sale in Al Batinah Barka,"50,000 OMR",", Barka, 768899XX",250 m²,Property for Sale,https://om.opensooq.com/en/search/264586321
OpenSooq,Residential Land for Sale in Al Batinah Al Masnaah,"2,900 OMR",", Al Masnaah, 993407XX",,Property for Sale,https://om.opensooq.com/en/search/265700677
OpenSooq,مغسلة دراي كلين جديدة ( غسيل جاف ) بتصميم عصري و لا أروع و بموقع استراتيجي مميز,"13,000 OMR",", Sinaw, 962769XX",100 m²,Property for Sale,https://om.opensooq.com/en/search/265629653
OpenSooq,محل كونر للبيع في ذا فيليج,"12,000 OMR",", Seeb, 921070XX",40 m²,Property for Sale,https://om.opensooq.com/en/search/265699611
OpenSooq,18 m2 5 Bedrooms Villa for Sale in Al Dhahirah Ibri,"35,000 OMR",", Ibri, 997504XX",18 m²,Property for Sale,https://om.opensooq.com/en/search/263748715
OpenSooq,Residential Land for Sale in Al Dakhiliya Other,"45,000 OMR",", Other, 911517XX",,Property for Sale,https://om.opensooq.com/en/search/266764401
OpenSooq,Residential Land for Sale in Muscat Ansab,"145,000 OMR",", Ansab, 977987XX",,Property for Sale,https://om.opensooq.com/en/search/265699321
OpenSooq,Residential Land for Sale in Dhofar Other,"4,000 OMR",", Other, 921070XX",,Property for Sale,https://om.opensooq.com/en/search/265699139
OpenSooq,Industrial Land for Sale in Al Batinah Shinas,"29,000 OMR",", Shinas, 911120XX",,Property for Sale,https://om.opensooq.com/en/search/266763259
OpenSooq,Residential Land for Sale in Al Batinah Barka,"20,500 OMR",", Barka, 985424XX",,Property for Sale,https://om.opensooq.com/en/search/266408329
OpenSooq,182 m2 3 Bedrooms Townhouse for Sale in Al Batinah Barka,"53,000 OMR",", Barka, 985424XX",182 m²,Property for Sale,https://om.opensooq.com/en/search/260886391
OpenSooq,mobile shop for sale in ghubra prime location,"11,000 OMR",", Ghubrah, 950396XX",26 m²,Property for Sale,https://om.opensooq.com/en/search/266762323
OpenSooq,Residential Land for Sale in Dhofar Salala,"7,000 OMR",", Salala, 956655XX",,Property for Sale,https://om.opensooq.com/en/search/266761199
OpenSooq,330 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"75,000 OMR",", Al Maabilah, 993661XX",330 m²,Property for Sale,https://om.opensooq.com/en/search/264025715
OpenSooq,Residential Land for Sale in Muscat Amerat,"12,500 OMR",", Amerat, 953065XX",,Property for Sale,https://om.opensooq.com/en/search/265696915
OpenSooq,Residential Land for Sale in Muscat Amerat,"12,000 OMR",", Amerat, 953065XX",,Property for Sale,https://om.opensooq.com/en/search/265696741
OpenSooq,Residential Land for Sale in Al Batinah Saham,"17,000 OMR",", Saham, 966366XX",,Property for Sale,https://om.opensooq.com/en/search/265696523
OpenSooq,مطلوب مطلوب محل للبيع سوبر ماركت او محل خضروات البيع بأقساط شهرية و يوجد شيكات ضمان حق البائع,"15,000 OMR",", Al Khoud, 936439XX",200 m²,Property for Sale,https://om.opensooq.com/en/search/266760083
OpenSooq,Industrial Land for Sale in Dhofar Salala,"255,000 OMR",", Salala, 711305XX",,Property for Sale,https://om.opensooq.com/en/search/266760001
OpenSooq,313 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"75,000 OMR",", Al Maabilah, 796998XX",313 m²,Property for Sale,https://om.opensooq.com/en/search/266759183
OpenSooq,331 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Nakhl,"51,000 OMR",", Nakhl, 959925XX",331 m²,Property for Sale,https://om.opensooq.com/en/search/265693909
OpenSooq,"READY BUSINESS FOR SALE – SUR SUQ, OMAN   Running Sports & Fashion Wear Shop  All Setup +","4,500 OMR",", Sur, 785033XX",4 m²,Property for Sale,https://om.opensooq.com/en/search/266756827
OpenSooq,Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"11,800 OMR",", Ja'alan Bani Bu Ali, 929099XX",,Property for Sale,https://om.opensooq.com/en/search/266756407
OpenSooq,Residential Land for Sale in Al Dhahirah Ibri,"5,300 OMR",", Ibri, 925632XX",,Property for Sale,https://om.opensooq.com/en/search/266755911
OpenSooq,Residential Land for Sale in Muscat Madinat As Sultan Qaboos,"230,000 OMR",", Madinat As Sultan Qaboos, 985424XX",,Property for Sale,https://om.opensooq.com/en/search/260530107
OpenSooq,Residential Land for Sale in Muscat Qurm,"430,000 OMR",", Qurm, 985424XX",,Property for Sale,https://om.opensooq.com/en/search/263586237
OpenSooq,Residential Land for Sale in Muscat Al Mawaleh,"55,000 OMR",", Al Mawaleh, 985424XX",,Property for Sale,https://om.opensooq.com/en/search/265690585
OpenSooq,Residential Land for Sale in Al Sharqiya Ibra,"4,300 OMR",", Ibra, 945377XX",,Property for Sale,https://om.opensooq.com/en/search/259307041
OpenSooq,Farm Land for Sale in Al Batinah Sohar,"79,900 OMR",", Sohar, 951551XX",,Property for Sale,https://om.opensooq.com/en/search/266754121
OpenSooq,Industrial Land for Sale in Al Batinah Sohar,"40,000 OMR",", Sohar, 951551XX",,Property for Sale,https://om.opensooq.com/en/search/266754047
OpenSooq,Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"17,000 OMR",", Ja'alan Bani Bu Ali, 921606XX",,Property for Sale,https://om.opensooq.com/en/search/266753495
OpenSooq,Residential Land for Sale in Al Dakhiliya Bidbid,"13,900 OMR",", Bidbid, 951137XX",,Property for Sale,https://om.opensooq.com/en/search/266753169
OpenSooq,Residential Land for Sale in Al Batinah Saham,"13,000 OMR",", Saham, 963739XX",,Property for Sale,https://om.opensooq.com/en/search/266752929
OpenSooq,260 m2 2 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"55,000 OMR",", Al Maabilah, 940700XX",260 m²,Property for Sale,https://om.opensooq.com/en/search/266752759
OpenSooq,101 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,"30,000 OMR",", Al Maabilah, 940700XX",101 m²,Property for Sale,https://om.opensooq.com/en/search/266752675
OpenSooq,101 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"25,500 OMR",", Al Maabilah, 940700XX",101 m²,Property for Sale,https://om.opensooq.com/en/search/266752647
OpenSooq,Building for Sale in Al Dhahirah Ibri,"125,000 OMR",", Ibri, 967626XX",650 m²,Property for Sale,https://om.opensooq.com/en/search/266750921
OpenSooq,مكتب سند للبيع في ولاية لوى,"12,000 OMR",", Liwa, 780477XX",25 m²,Property for Sale,https://om.opensooq.com/en/search/266749715
OpenSooq,Residential Land for Sale in Al Batinah Barka,"18,000 OMR",", Barka, 921144XX",,Property for Sale,https://om.opensooq.com/en/search/266749437
OpenSooq,Farm Land for Sale in Dhofar Salala,"330,000 OMR",", Salala, 925418XX",,Property for Sale,https://om.opensooq.com/en/search/266749403
OpenSooq,Residential Land for Sale in Muscat Amerat,"14,900 OMR",", Amerat, 961420XX",,Property for Sale,https://om.opensooq.com/en/search/265684845
OpenSooq,324 m2 5 Bedrooms Villa for Sale in Dhofar Salala,"56,000 OMR",", Salala, 919919XX",324 m²,Property for Sale,https://om.opensooq.com/en/search/266748415
OpenSooq,Residential Land for Sale in Muscat Bosher,"195,000 OMR",", Bosher, 994441XX",,Property for Sale,https://om.opensooq.com/en/search/264670323
